2|0000000000000000,0000010000000000,0000010000200000,0000010001200000,0000010001200200,0000011001200200,0000011001220200,0000011101220200,
1|0000000000000000,0000010000000000,0000010000200000,0000011000200000,0000011200200000,0000011201200000,0000011201200020,0001011201200020,0001011201202020,
2|0000000000000000,1000000000000000,1000002000000000,1000102000000000,1000122000000000,1000122001000000,1000122001000200,1000122001001200,1000122021001200,1000122121001200,
1|0000000000000000,0000000010000000,0000020010000000,0000021010000000,0002021010000000,0002021011000000,0002021211000000,0002021211100000,0002021211120000,0012021211120000,0012021211120020,0012021211120021,0212021211120021,
2|0000000000000000,0000010000000000,0000012000000000,0000012001000000,0000012001200000,0000012001200100,0200012001200100,0200012001200110,
0|0000000000000000,0000000001000000,0000020001000000,0000020001100000,0000022001100000,0000022011100000,0000022011120000,1000022011120000,1000022011120002,1010022011120002,1010222011120002,1010222111120002,1210222111120002,1211222111120002,1211222111120022,1211222111120122,
2|0000000000000000,0000000001000000,0000002001000000,0000012001000000,0000012001200000,0010012001200000,0010012001202000,0010012001202010,0010012001202210,0010012001212210,
2|0000000000000000,1000000000000000,1000020000000000,1100020000000000,1100022000000000,1110022000000000,1112022000000000,1112022010000000,1112222010000000,1112222110000000,1112222110200000,1112222110200001,
0|0000000000000000,0000000000100000,0000020000100000,0000021000100000,0000021002100000,0010021002100000,0010021002100020,1010021002100020,1210021002100020,1210021002100120,1210021022100120,1210021022100121,1210021022120121,1210021022121121,1210221022121121,1210221122121121,
1|0000000000000000,0000001000000000,0000001002000000,0000011002000000,0000011202000000,0000011202100000,0000011202100020,0001011202100020,0001011202100220,
1|0000000000000000,0000000000100000,0000000002100000,0000000002100010,0000002002100010,0000012002100010,0200012002100010,0200112002100010,0200112002120010,1200112002120010,1200112022120010,
1|0000000000000000,0000000000100000,0000000002100000,0000001002100000,0000001002100020,0000001002100021,0200001002100021,0200011002100021,0200211002100021,
1|0000000000000000,0000001000000000,0000001000200000,0000011000200000,0000011200200000,0000011201200000,0002011201200000,0002011201200010,0002011201200210,
1|0000000000000000,0000010000000000,0000012000000000,0000012001000000,0000012001200000,0000012001200010,2000012001200010,2100012001200010,2100012001202010,
1|0000000000000000,0000000000100000,0000000000100020,0000000001100020,0000000001102020,0000000001112020,0000000021112020,0000010021112020,0000210021112020,1000210021112020,1000210021112022,1000210021112122,1200210021112122,
1|0000000000000000,0000010000000000,0000012000000000,0000012001000000,0000012001200000,0000012001200001,0000012001200021,0010012001200021,0010012001202021,0011012001202021,0011212001202021,0111212001202021,0111212001202221,
2|0000000000000000,0000000001000000,0000002001000000,0000012001000000,0000012001200000,0000012001200100,0200012001200100,0200012001200101,2200012001200101,2200012101200101,2220012101200101,2220012101200111,
1|0000000000000000,0000000000100000,0000000002100000,0000010002100000,0000012002100000,0000012002100100,0000012002100120,0000012002100121,0000012002120121,
1|0000000000000000,0000000001000000,0000000001200000,0000001001200000,0000021001200000,0001021001200000,0001021001202000,0001021101202000,0001021101202002,
1|0000000000000000,0000000010000000,0000000012000000,0000001012000000,0000001212000000,0000001212100000,0000001212100020,0000011212100020,0020011212100020,0020011212110020,0020011212110220,
1|0000000000000000,0100000000000000,0100000000000002,0100000000100002,0100000000100022,0100000000100122,0100000002100122,0100000012100122,0100000212100122,0100001212100122,0102001212100122,0102001212110122,0102021212110122,
2|0000000000000000,0000010000000000,0000012000000000,0000012000100000,0000012002100000,0010012002100000,0010012002102000,0011012002102000,0011212002102000,0011212102102000,0011212102102020,0111212102102020,2111212102102020,2111212112102020,
